producto,ventas,ciudad,fecha
Basil - Pesto Sauce,198,Svitlovods’k,3/5/2024
Lemonade - Pineapple Passion,374,Jongīyeh,1/4/2024
Bread - Mini Hamburger Bun,392,Granada,4/1/2024
"Stock - Beef, White",283,Jaworzyna Śląska,1/13/2024
Lemonade - Pineapple Passion,171,Savitaipale,1/15/2024
Bar - Sweet And Salty Chocolate,422,Morfovoúni,1/3/2024
"Beans - Turtle, Black, Dry",298,La Maná,2/24/2024
"Pasta - Bauletti, Chicken White",396,Cesvaine,3/29/2024
Watercress,366,Magisterial,2/25/2024
Apricots - Dried,336,Al Madīd,4/8/2024
Lemonade - Pineapple Passion,441,Chicago,2/2/2024
Macaroons,433,Oklahoma City,1/5/2024
Macaroons,82,Guji,3/3/2024
Cheese - Cheddarsliced,326,Yong’an,1/9/2024
Chips Potato All Dressed - 43g,326,Furudate,3/2/2024
Flax Seed,365,Narew,2/18/2024
Beef - Eye Of Round,429,Shinpokh,4/10/2024
Wine - White Cab Sauv.on,198,Raczki,1/24/2024
Cookie - Dough Variety,457,Boñgalon,4/18/2024
Bread - Mini Hamburger Bun,53,Jocón,2/11/2024
